Precompiling packages...
   4901.0 ms  ✓ DeepDriveWE
  1 dependency successfully precompiled in 6 seconds. 159 already precompiled.
[ Info: Loaded 2 basis states
iter 1: n_walkers=4, total_weight=1.0, occupied_bins=2
iter 2: n_walkers=6, total_weight=1.0, occupied_bins=3
iter 3: n_walkers=8, total_weight=1.0, occupied_bins=4
iter 4: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 5: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 6: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 7: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 8: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 9: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 10: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 11: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 12: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 13: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 14: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 15: n_walkers=28, total_weight=1.0, occupied_bins=14
iter 16: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 17: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 18: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 19: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 20: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 21: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 22: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 23: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 24: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 25: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 26: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 27: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 28: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 29: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 30: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 31: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 32: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 33: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 34: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 35: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 36: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 37: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 38: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 39: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 40: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 41: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 42: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 43: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 44: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 45: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 46: n_walkers=10, total_weight=1.0, occupied_bins=5
iter 47: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 48: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 49: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 50: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 51: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 52: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 53: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 54: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 55: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 56: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 57: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 58: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 59: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 60: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 61: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 62: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 63: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 64: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 65: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 66: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 67: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 68: n_walkers=24, total_weight=1.0, occupied_bins=12
iter 69: n_walkers=26, total_weight=1.0, occupied_bins=13
iter 70: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 71: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 72: n_walkers=22, total_weight=1.0, occupied_bins=11
iter 73: n_walkers=28, total_weight=1.0, occupied_bins=14
iter 74: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 75: n_walkers=18, total_weight=1.0, occupied_bins=9
iter 76: n_walkers=20, total_weight=1.0, occupied_bins=10
iter 77: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 78: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 79: n_walkers=16, total_weight=1.0, occupied_bins=8
iter 80: n_walkers=14, total_weight=1.0, occupied_bins=7
iter 81: n_walkers=20, total_weight=1.0, occupied_bins=10
